BirdID,LatinName,GermanName,EnglishName
4026,Oecanthus pini,Pine Tree Cricket,Pine Tree Cricket
4027,Oecanthus quadripunctatus,Four-spotted Tree Cricket,Four-spotted Tree Cricket
4028,Oena capensis,Kaptäubchen,Namaqua Dove
4029,Oenanthe deserti,Wüstensteinschmätzer,Desert Wheatear
4030,Oenanthe familiaris,Rostschwanz-Steinschmätzer,Familiar Chat
4031,Oenanthe fusca,Braunsteinschmätzer,Brown Rock Chat
4032,Oenanthe hispanica,Maurensteinschmätzer,Western Black-eared Wheatear
4033,Oenanthe isabellina,Isabellsteinschmätzer,Isabelline Wheatear
4034,Oenanthe leucopyga,Saharasteinschmätzer,White-crowned Wheatear
4035,Oenanthe leucura,Trauersteinschmätzer,Black Wheatear
4036,Oenanthe melanoleuca,Balkansteinschmätzer,Eastern Black-eared Wheatear
4037,Oenanthe melanura,Schwarzschwanz-Steinschmätzer,Blackstart
4038,Oenanthe oenanthe,Steinschmätzer,Northern Wheatear
4039,Oenanthe pileata,Erdsteinschmätzer,Capped Wheatear
4040,Oenanthe pleschanka,Nonnensteinschmätzer,Pied Wheatear
4041,Oenanthe scotocerca,Braunschwanz-Steinschmätzer,Brown-tailed Chat
4042,Ognorhynchus icterotis,Gelbohrsittich,Yellow-eared Parrot
4043,Oncostoma cinereigulare,Graukehl-Krummschnabeltyrann,Northern Bentbill
4044,Oncostoma olivaceum,Gelbkehl-Krummschnabeltyrann,Southern Bentbill
4045,Oneillornis lunulatus,Schwarzschwanz-Ameisenvogel,Lunulated Antbird
4046,Oneillornis salvini,Bindenschwanz-Ameisenvogel,White-throated Antbird
4047,Onychognathus morio,Rotschwingenstar,Red-winged Starling
4048,Onychognathus nabouroup,Fahlflügelstar,Pale-winged Starling
4049,Onychognathus tenuirostris,Zimtflügelstar,Slender-billed Starling
4050,Onychognathus tristramii,Tristramstar,Tristram's Starling
4051,Onychognathus walleri,Wallerstar,Waller's Starling
4052,Onychoprion aleuticus,Aleutenseeschwalbe,Aleutian Tern
4053,Onychoprion anaethetus,Zügelseeschwalbe,Bridled Tern
4054,Onychoprion fuscatus,Rußseeschwalbe,Sooty Tern
4055,Onychoprion lunatus,Brillenseeschwalbe,Grey-backed Tern
4056,Onychorhynchus coronatus,Kronenbekarde,Tropical Royal Flycatcher
4057,Opisthocomus hoazin,Hoatzin,Hoatzin
4058,Oporornis agilis,Augenring-Waldsänger,Connecticut Warbler
4059,Orchelimum agile,Agile Meadow Katydid,Agile Meadow Katydid
4060,Orchelimum concinnum,Stripe-faced Meadow Katydid,Stripe-faced Meadow Katydid
4061,Orchelimum pulchellum,Handsome Meadow Katydid,Handsome Meadow Katydid
4062,Orchesticus abeillei,Fuchstangare,Brown Tanager
4063,Oreocharis arfaki,Gelbbauch-Beerenfresser,Tit Berrypecker
4064,Oreoica gutturalis,Schwarz-Haubendickkopf,Crested Bellbird
4065,Oreolais pulcher,Schmuckfeinsänger,Black-collared Apalis
4066,Oreolais ruwenzorii,Ruwenzorifeinsänger,Rwenzori Apalis
4067,Oreomystis bairdi,Weißkehl-Kleidervogel,Akikiki
4068,Oreophasis derbianus,Zapfenguan,Horned Guan
4069,Oreopholus ruficollis,Orangekehl-Regenpfeifer,Tawny-throated Dotterel
4070,Oreopsar bolivianus,Bolivienstärling,Bolivian Blackbird
4071,Oreortyx pictus,Bergwachtel,Mountain Quail
4072,Oreoscoptes montanus,Beifuß-Spottdrossel,Sage Thrasher
4073,Oreoscopus gutturalis,Farnhuscher,Fernwren
4074,Oreothlypis gutturalis,Feuerwaldsänger,Flame-throated Warbler
4075,Oreothlypis superciliosa,Schmuckwaldsänger,Crescent-chested Warbler
4076,Oreothraupis arremonops,Tangarenbuschammer,Tanager Finch
4077,Oreotrochilus estella,Estellakolibri,Andean Hillstar
4078,Oressochen jubatus,Orinokogans,Orinoco Goose
4079,Oressochen melanopterus,Andengans,Andean Goose
4080,Oriolus auratus,Goldpirol,African Golden Oriole
4081,Oriolus brachyrynchus,Dschungelpirol,Western Black-headed Oriole
4082,Oriolus chinensis,Schwarznackenpirol,Black-naped Oriole
4083,Oriolus chlorocephalus,Grünkopfpirol,Green-headed Oriole
4084,Oriolus cruentus,Javapirol,Javan Oriole
4085,Oriolus flavocinctus,Mangrovepirol,Green Oriole
4086,Oriolus kundoo,Indienpirol,Indian Golden Oriole
4087,Oriolus larvatus,Maskenpirol,African Black-headed Oriole
4088,Oriolus monacha,Mönchspirol,Ethiopian Black-headed Oriole
4089,Oriolus nigripennis,Schwarzschwingenpirol,Black-winged Oriole
4090,Oriolus oriolus,Pirol,Eurasian Golden Oriole
4091,Oriolus percivali,Bergpirol,Black-tailed Oriole
4092,Oriolus phaeochromus,Halmaherapirol,Halmahera Oriole
4093,Oriolus sagittatus,Streifenpirol,Olive-backed Oriole
4094,Oriolus steerii,Philippinenpirol,Philippine Oriole
4095,Oriolus szalayi,Neuguineapirol,Brown Oriole
4096,Oriolus tenuirostris,Dünnschnabelpirol,Slender-billed Oriole
4097,Oriolus traillii,Blutpirol,Maroon Oriole
4098,Oriolus xanthonotus,Gelbmantelpirol,Dark-throated Oriole
4099,Oriolus xanthornus,Bengalenpirol,Black-hooded Oriole
4100,Oriturus superciliosus,Streifenammer,Striped Sparrow
4101,Ornithion brunneicapillus,Braunkappen-Kleintyrann,Brown-capped Tyrannulet
4102,Ornithion inerme,Weißzügel-Kleintyrann,White-lored Tyrannulet
4103,Ornithion semiflavum,Gelbbauch-Kleintyrann,Yellow-bellied Tyrannulet
4104,Orocharis saltator,Jumping Bush Cricket,Jumping Bush Cricket
